"Player,Runs_bat,4s_bat,6s_bat,Strike Rate_x,Wickets,Maidens,Overs,Economy,Dots,Fielder_Catch,Fielder_Stumping,Fielder_Runout,Fantasy_Points,Player_Role"
"harbhajan singh,4.0,0.0,0.0,66.66666666666667,0.0,0.0,3.0,5.5,9.0,0.0,0.0,0.0,4.0,Batsman"
"hardik pandya,408.0,25.0,30.0,56.855892857142855,22.0,0.0,88.3,5.400535714285715,198.0,0.0,0.0,0.0,1043.0,Batsman"
"hardik pandya (c),1049.0,92.0,38.0,130.64697674418605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1217.0,Batsman"
"harpreet brar,213.0,17.0,8.0,75.13333333333334,19.0,0.0,90.1,7.231944444444445,179.0,0.0,0.0,0.0,721.0,Batsman"
"harpreet singh,103.0,10.0,3.0,110.24000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,Batsman"
"harry brook,190.0,23.0,4.0,79.15363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,Batsman"
"harshal patel,34.0,3.0,1.0,4.582131147540983,92.0,2.0,215.7,8.801311475409836,442.0,0.0,0.0,0.0,2363.0,Bowler"
"harshit rana,2.0,0.0,0.0,10.526315789473685,25.0,1.0,64.1,9.222631578947368,157.0,0.0,0.0,0.0,639.0,Bowler"
"heinrich klaasen â€ ,927.0,51.0,63.0,168.8553846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,Batsman"
"himanshu sharma,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.915,4.0,0.0,0.0,0.0,0.0,Unknown"
"hrithik shokeen,66.0,9.0,0.0,37.183076923076925,5.0,0.0,33.0,8.832307692307692,82.0,0.0,0.0,0.0,200.0,Unknown"
"imran tahir,13.0,2.0,0.0,130.0,0.0,0.0,3.0,7.33,6.0,0.0,0.0,0.0,15.0,Batsman"
"ishan kishan,595.0,39.0,32.0,111.46199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,Batsman"
"ishan kishan â€ ,1354.0,152.0,53.0,125.83021739130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.0,Batsman"
"ishan porel,0.0,0.0,0.0,0.0,1.0,0.0,4.0,9.75,10.0,0.0,0.0,0.0,25.0,Bowler"
"ishant sharma,2.0,0.0,0.0,7.01736842105263,20.0,1.0,60.0,9.06421052631579,146.0,0.0,0.0,0.0,514.0,Bowler"
"isuru udana,0.0,0.0,0.0,0.0,8.0,0.0,27.0,9.72111111111111,45.0,0.0,0.0,0.0,200.0,Bowler"
"jagadeesha suchith,16.0,2.0,1.0,43.650000000000006,3.0,0.0,18.0,7.901666666666666,36.0,0.0,0.0,0.0,95.0,Bowler"
"jake fraser-mcgurk,330.0,32.0,28.0,208.61777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,Batsman"
